CGPA	Python_Skill	SQL_Skill	Machine_Learning_Skill	Projects	Internship	Communication_Skill	Problem_Solving_Skill	Deep_Learning_Skill	Data_Analysis_Skill	Job_Role
6.57	3	5	5	4	0	3	1	4	2	ML Engineer
7.61	3	2	3	4	1	1	4	2	4	ML Engineer
9.94	1	4	5	4	1	4	5	3	5	AI Engineer
7.8	4	3	1	4	1	1	4	1	3	ML Engineer
8.89	2	3	1	1	1	4	3	3	1	Data Analyst
7.68	2	5	1	1	0	5	2	1	2	Data Analyst
8.12	1	4	3	4	1	2	3	1	1	ML Engineer
7.55	5	3	4	2	0	1	1	5	3	Data Analyst
7.45	1	3	2	1	1	1	3	5	4	Data Analyst
6.9	4	4	1	2	1	2	2	4	1	Data Analyst
7.99	5	2	5	3	0	1	2	4	4	Data Analyst
6.83	1	1	4	2	1	5	3	2	2	Data Analyst
8.2	3	3	4	2	1	5	5	3	4	AI Engineer
8.58	3	1	3	2	1	5	2	4	5	ML Engineer
7.93	2	1	3	0	0	5	5	3	4	AI Engineer
7.34	4	3	1	3	0	3	3	2	4	Data Analyst
8.01	3	4	1	1	0	2	5	2	4	Data Analyst
7.32	3	4	5	3	0	3	2	5	1	ML Engineer
8.44	3	2	2	3	1	2	5	2	1	ML Engineer
5.95	5	3	4	2	0	5	4	5	2	ML Engineer
7.3	4	1	4	1	0	3	4	4	4	Data Analyst
5.81	2	4	2	6	1	2	3	5	4	AI Engineer
6.25	5	2	2	3	0	4	3	3	4	ML Engineer
8.83	5	4	4	2	1	2	3	2	2	Data Analyst
8.41	5	5	1	1	1	2	5	1	5	Data Analyst
6.95	4	4	3	2	0	2	4	3	3	Data Analyst
6.25	2	2	5	0	1	1	1	2	2	Data Analyst
5	4	5	4	5	0	1	4	1	4	Data Analyst
7.11	2	4	4	5	1	3	5	5	1	ML Engineer
9.78	2	4	1	5	1	5	4	5	3	ML Engineer
7.99	3	5	1	0	1	2	3	2	4	Data Analyst
7.1	5	5	2	3	1	4	2	4	4	AI Engineer
8.02	3	1	2	0	1	2	4	3	2	ML Engineer
6.2	2	5	1	2	1	2	4	3	1	Data Analyst
7.33	3	4	5	3	0	1	2	4	1	AI Engineer
7.69	2	2	1	2	0	3	3	3	1	AI Engineer
7.52	4	2	4	0	1	4	2	5	5	AI Engineer
8.31	2	4	3	0	1	2	1	1	4	ML Engineer
7.91	3	2	4	4	1	3	1	4	3	ML Engineer
8.2	2	3	2	5	1	3	1	5	3	Data Analyst
6.98	2	4	2	0	0	2	3	5	2	AI Engineer
8.41	5	4	4	1	0	4	3	1	1	ML Engineer
9.07	2	5	2	5	1	3	3	1	1	Data Analyst
6.73	1	1	4	1	0	1	5	4	4	ML Engineer
6.8	2	2	1	6	1	3	2	5	1	AI Engineer
8.8	3	5	1	1	1	2	2	5	1	Data Analyst
7.43	1	3	4	2	1	4	2	5	4	AI Engineer
8.86	2	2	4	3	1	2	2	1	3	AI Engineer
7.2	1	2	1	1	1	5	3	3	3	AI Engineer
8.91	3	2	5	2	1	4	2	4	2	AI Engineer
7.72	4	3	1	0	0	1	2	4	1	Data Analyst
7.83	5	2	5	0	1	3	4	4	3	ML Engineer
9.01	2	4	4	2	1	5	5	2	2	Data Analyst
7.27	5	3	5	1	0	2	2	3	3	ML Engineer
6.75	2	4	5	5	1	4	1	3	1	ML Engineer
7.2	4	1	2	2	1	4	2	5	2	AI Engineer
8.01	3	4	4	1	0	4	3	2	1	ML Engineer
6.19	4	5	2	5	1	1	5	2	3	ML Engineer
8.17	4	1	3	4	1	2	1	1	2	Data Analyst
7.12	3	2	2	1	1	2	1	1	2	AI Engineer
8.63	2	4	3	2	0	2	3	5	3	Data Analyst
5.45	3	4	5	1	1	5	5	5	3	AI Engineer
6.89	5	4	3	2	1	1	3	2	2	Data Analyst
6.08	5	3	1	2	1	3	5	4	4	AI Engineer
6.86	5	4	2	1	0	5	4	3	2	Data Analyst
7.82	1	4	4	2	0	5	1	5	2	ML Engineer
7.44	3	1	3	4	1	4	3	2	3	ML Engineer
7.37	1	4	3	3	1	5	4	5	1	ML Engineer
7.46	4	3	3	3	0	3	3	2	3	Data Analyst
7.78	5	1	2	2	0	4	1	4	3	Data Analyst
6.69	1	3	3	3	1	3	1	2	1	Data Analyst
8.24	4	3	4	2	1	1	4	4	3	ML Engineer
8.2	5	1	5	3	1	1	3	2	1	ML Engineer
7.95	5	5	4	1	1	5	3	5	4	Data Analyst
8.1	2	2	5	2	1	1	2	4	1	ML Engineer
7.87	1	2	5	2	1	2	2	2	1	ML Engineer
9.43	5	3	1	0	0	4	4	5	2	Data Analyst
7.52	5	5	2	2	1	3	1	4	4	Data Analyst
7.32	3	4	2	3	0	3	3	3	4	Data Analyst
6.92	5	4	1	1	1	5	2	1	3	Data Analyst
6.67	1	2	1	1	0	4	4	5	1	Data Analyst
6.48	4	5	4	4	1	5	4	4	2	AI Engineer
6.8	1	5	2	3	1	4	3	4	4	Data Analyst
7.54	5	3	1	1	0	5	2	5	1	AI Engineer
7.9	4	3	2	3	1	4	2	4	4	ML Engineer
7.65	5	1	2	3	0	3	2	2	2	ML Engineer
6.91	3	4	1	0	1	5	2	2	1	Data Analyst
8.41	1	5	1	5	1	5	4	1	4	Data Analyst
8.27	1	3	4	2	0	1	1	1	1	ML Engineer
7.46	2	3	5	3	1	5	1	4	2	Data Analyst
7.01	4	3	3	2	1	4	3	5	1	ML Engineer
8.09	1	1	4	3	0	5	2	1	3	ML Engineer
7.77	5	4	5	3	1	4	5	3	1	ML Engineer
6.3	2	4	5	3	1	5	4	1	1	Data Analyst
7.54	3	5	1	5	1	2	4	3	3	Data Analyst
7.84	2	5	5	3	0	1	3	4	5	Data Analyst
6.79	3	3	1	2	1	1	3	5	1	AI Engineer
7.77	3	5	1	3	0	2	3	5	3	Data Analyst
6.29	1	3	3	3	1	2	1	2	5	Data Analyst
8.8	3	4	4	1	1	3	3	5	2	Data Analyst
8.72	4	4	1	3	1	1	5	4	3	Data Analyst
7.37	5	5	2	2	0	1	2	2	5	Data Analyst
7.93	2	4	2	3	0	3	1	2	4	ML Engineer
5.43	5	1	2	2	1	4	3	1	2	ML Engineer
6.56	5	1	5	2	0	1	2	5	4	ML Engineer
7.34	5	3	2	2	1	3	4	2	4	Data Analyst
6.64	2	3	2	5	1	4	5	2	3	Data Analyst
8.24	5	4	1	3	1	4	5	3	3	Data Analyst
9.4	3	3	1	3	0	1	2	1	5	Data Analyst
6.54	1	3	1	1	0	4	5	5	5	Data Analyst
6.85	2	5	3	2	1	1	1	4	5	Data Analyst
7.81	4	2	3	0	1	2	2	1	4	ML Engineer
9.05	1	3	3	0	0	2	2	1	2	ML Engineer
6.5	3	3	5	3	0	5	5	1	1	AI Engineer
7.82	4	3	3	3	0	1	4	5	1	AI Engineer
9.24	1	5	1	0	1	4	2	3	5	ML Engineer
6.11	3	5	2	1	0	5	1	4	2	Data Analyst
6.45	2	3	2	4	0	5	4	1	1	ML Engineer
7.22	3	3	5	0	1	2	4	2	2	Data Analyst
7.13	2	3	2	3	0	1	5	3	1	AI Engineer
8.33	5	1	1	3	0	2	3	2	3	ML Engineer
7.82	1	3	4	0	1	4	1	4	3	Data Analyst
6	5	2	3	4	1	1	2	5	2	ML Engineer
8.06	4	1	1	2	0	4	4	2	4	AI Engineer
7.08	5	1	4	1	1	2	2	4	3	AI Engineer
8.75	5	3	2	1	0	4	1	5	5	ML Engineer
7.04	1	1	5	8	0	4	5	5	4	AI Engineer
7.03	5	4	5	3	1	3	3	1	1	ML Engineer
8.09	3	3	2	1	1	4	2	1	2	Data Analyst
8.29	5	2	3	2	1	5	3	5	4	ML Engineer
8	5	4	3	2	1	2	4	5	3	ML Engineer
6.08	3	3	4	6	0	3	1	2	4	Data Analyst
8.08	2	4	1	3	1	4	3	3	2	Data Analyst
6.67	1	4	2	3	1	5	2	3	1	Data Analyst
7.81	1	1	1	1	0	3	1	4	4	Data Analyst
6.32	2	2	4	2	1	2	1	4	4	AI Engineer
8	5	3	1	3	0	5	3	2	4	Data Analyst
6.87	3	5	3	3	1	5	3	5	3	Data Analyst
6.45	3	1	4	1	1	3	3	1	1	AI Engineer
8.24	2	1	5	2	0	1	4	1	4	ML Engineer
7.82	3	5	2	1	1	2	3	5	4	Data Analyst
7.05	4	5	1	2	0	3	3	1	4	ML Engineer
8.91	5	1	4	1	1	4	5	5	1	AI Engineer
7.2	4	3	1	0	0	4	4	2	4	Data Analyst
7.63	4	4	1	1	0	5	5	2	4	Data Analyst
7.84	5	1	5	3	0	1	2	1	5	ML Engineer
7.04	3	2	5	4	1	3	4	5	3	AI Engineer
8.02	5	2	4	1	0	4	4	2	4	ML Engineer
7.12	2	4	5	3	1	5	3	1	3	ML Engineer
7.23	1	2	1	3	0	1	1	3	4	AI Engineer
8.83	3	3	1	1	1	5	3	1	4	Data Analyst
6.66	1	2	2	4	0	1	5	4	4	AI Engineer
5.43	1	4	1	1	0	1	4	1	5	Data Analyst
9.05	5	1	5	0	1	5	1	3	1	ML Engineer
9.89	4	2	1	2	1	4	2	2	4	Data Analyst
7.24	2	2	3	1	1	5	3	1	4	Data Analyst
5.86	5	5	5	0	1	4	5	1	3	ML Engineer
7.32	1	5	4	2	1	4	3	3	3	ML Engineer
7.34	2	3	2	4	1	3	5	2	4	ML Engineer
7.43	4	1	3	4	1	3	4	1	3	Data Analyst
6.6	2	4	3	4	1	3	2	1	3	Data Analyst
8.12	4	3	4	5	1	2	1	5	5	AI Engineer
8.07	5	5	3	1	1	5	5	4	4	Data Analyst
6.26	1	2	2	1	1	2	3	4	2	ML Engineer
8.23	1	5	4	1	1	4	5	5	5	ML Engineer
9.45	5	5	5	2	1	4	5	1	2	ML Engineer
7.75	3	2	3	3	1	3	3	4	1	AI Engineer
7.3	3	4	1	3	1	4	1	4	5	Data Analyst
7.47	3	2	3	2	1	1	5	2	2	AI Engineer
8.15	3	2	5	1	1	2	3	3	2	ML Engineer
6.04	4	2	5	2	1	3	1	4	2	AI Engineer
7.75	3	4	3	2	1	2	3	4	3	AI Engineer
7.25	1	2	1	2	1	5	1	2	1	Data Analyst
9.26	4	4	3	3	0	5	2	4	1	ML Engineer
7.44	4	3	5	2	1	4	2	4	2	ML Engineer
9.1	1	4	5	2	0	2	3	1	2	ML Engineer
6.61	2	5	1	0	0	1	3	3	1	Data Analyst
8.13	4	1	2	0	1	4	5	3	5	AI Engineer
7.89	4	5	3	3	1	5	2	2	3	Data Analyst
6.82	1	1	1	2	1	3	4	1	1	AI Engineer
7.76	1	3	5	5	0	5	5	1	1	ML Engineer
8.69	3	2	1	5	1	5	4	4	5	Data Analyst
7.31	3	4	4	3	1	3	2	5	2	ML Engineer
6.08	5	4	5	3	1	2	4	3	1	AI Engineer
7.58	3	5	4	1	1	1	2	5	4	AI Engineer
6.79	5	3	4	0	0	4	3	5	5	Data Analyst
7.29	2	5	2	1	0	3	4	4	2	Data Analyst
7.53	3	2	5	2	0	1	2	3	4	Data Analyst
6.06	1	2	3	7	0	1	1	5	3	ML Engineer
6.15	3	2	1	2	0	5	5	4	1	ML Engineer
8.03	1	3	2	3	0	2	4	5	4	AI Engineer
7.13	3	4	2	2	0	2	1	5	5	Data Analyst
5.29	2	5	3	2	0	4	2	1	5	Data Analyst
8.31	1	2	2	0	0	2	2	4	1	ML Engineer
7.85	1	2	3	4	1	5	5	4	3	Data Analyst
6.96	3	5	3	4	0	4	5	5	4	AI Engineer
6.41	5	3	2	2	1	2	4	2	1	ML Engineer
8.35	1	2	4	2	0	2	3	5	5	ML Engineer
7.91	3	5	2	3	0	5	1	3	1	Data Analyst
9.74	2	3	4	3	0	3	2	2	2	Data Analyst
7.98	5	5	2	4	1	5	1	1	5	Data Analyst
7.95	3	5	5	4	0	2	4	2	3	ML Engineer
7.45	5	5	2	0	1	1	1	5	4	AI Engineer
8.34	2	3	1	1	0	5	4	4	3	Data Analyst
8.16	1	4	1	3	1	2	5	4	4	Data Analyst
8.73	3	5	5	2	0	5	2	5	1	ML Engineer
7.13	4	2	5	2	0	4	4	2	4	ML Engineer
7.21	5	1	2	3	1	2	5	4	1	AI Engineer
7.17	5	2	4	2	0	4	3	2	1	ML Engineer
8.31	5	4	3	1	0	1	3	5	3	ML Engineer
8.95	4	3	1	3	1	2	2	3	3	Data Analyst
7.19	2	1	3	2	0	2	3	5	1	ML Engineer
7.22	3	3	4	1	0	4	5	4	4	ML Engineer
7.88	1	1	5	3	1	3	4	4	2	AI Engineer
7.38	3	3	5	4	0	4	2	5	5	Data Analyst
8.46	2	3	1	3	1	3	3	4	1	AI Engineer
5.57	1	4	2	5	1	4	4	2	2	Data Analyst
6.86	2	3	3	3	1	1	1	3	2	AI Engineer
6.9	3	3	1	2	0	4	4	3	3	Data Analyst
5.51	2	4	3	2	1	1	2	1	3	Data Analyst
6.73	5	4	1	4	1	1	2	3	1	ML Engineer
6.78	3	5	1	3	0	4	3	3	3	Data Analyst
7.42	5	2	1	2	1	1	3	2	5	ML Engineer
8.6	4	3	2	1	1	4	5	1	1	Data Analyst
7.38	1	2	4	3	1	1	2	3	2	AI Engineer
6.67	2	3	1	5	0	1	2	3	3	Data Analyst
7.55	4	1	5	1	0	5	2	1	4	Data Analyst
8.54	3	3	2	3	1	1	5	4	1	ML Engineer
6.72	2	1	1	3	1	5	5	1	2	ML Engineer
6.78	3	3	2	3	0	2	3	1	2	ML Engineer
8.1	5	5	4	1	0	4	4	3	4	Data Analyst
7.4	2	5	1	3	1	5	5	2	1	ML Engineer
8.18	1	3	1	0	0	1	5	5	4	Data Analyst
7.59	2	1	5	6	0	2	4	1	3	AI Engineer
8.23	5	2	3	3	1	3	3	2	2	Data Analyst
6.67	4	1	2	2	0	5	5	4	5	Data Analyst
7.59	5	4	4	2	0	1	2	2	5	Data Analyst
7.41	5	5	5	2	0	1	2	5	5	AI Engineer
6.51	1	3	2	2	1	2	4	4	5	Data Analyst
6.19	2	1	3	0	0	2	1	5	2	AI Engineer
8.22	1	1	1	2	1	2	3	5	5	ML Engineer
7.28	1	5	2	2	1	1	5	1	1	Data Analyst
6.68	5	2	3	3	1	5	1	3	2	Data Analyst
7.51	5	1	1	2	1	4	5	4	3	AI Engineer
8.62	1	1	5	3	1	1	3	1	4	ML Engineer
5.55	4	2	5	1	0	3	5	3	3	ML Engineer
6.25	3	4	2	2	1	4	4	4	3	Data Analyst
6.77	1	5	2	2	1	4	1	4	2	ML Engineer
8.92	5	2	1	4	1	5	4	3	3	ML Engineer
7.85	5	4	3	1	1	4	1	5	3	Data Analyst
8.29	3	1	1	2	0	4	2	4	3	Data Analyst
6.57	4	1	2	3	1	1	5	1	3	AI Engineer
6.59	2	1	3	4	0	1	5	2	4	AI Engineer
8	4	5	4	2	1	4	1	5	2	Data Analyst
7.65	3	3	3	2	0	5	2	1	1	Data Analyst
8.09	5	5	2	3	1	2	1	1	2	ML Engineer
7.43	1	1	4	6	1	4	2	2	3	Data Analyst
7.85	1	1	4	2	1	2	5	5	1	ML Engineer
7.74	5	5	4	0	0	3	1	4	1	AI Engineer
8.3	2	1	3	1	1	4	4	1	5	ML Engineer
8.33	2	1	5	2	0	4	5	2	2	Data Analyst
6.14	4	3	2	4	0	1	5	5	4	ML Engineer
5.58	1	4	5	1	1	5	2	2	1	AI Engineer
8.5	3	2	2	3	1	5	4	3	5	ML Engineer
8.67	2	3	2	3	1	3	3	3	2	AI Engineer
6.68	1	4	3	2	0	2	1	4	2	ML Engineer
5.93	5	3	3	3	1	3	2	4	4	ML Engineer
7.69	1	2	4	1	1	5	4	5	2	ML Engineer
8.44	1	1	2	1	0	3	4	1	3	ML Engineer
9.22	4	3	5	1	1	1	3	3	4	ML Engineer
8.06	5	5	2	4	1	1	4	4	1	Data Analyst
7.27	1	4	3	2	1	5	4	3	1	ML Engineer
6.8	4	5	5	3	1	4	2	4	4	AI Engineer
7.61	3	1	3	1	1	4	2	4	2	Data Analyst
7.33	5	1	4	2	0	1	5	2	5	ML Engineer
6.69	1	3	5	2	0	1	5	1	5	Data Analyst
9.44	5	1	5	5	1	2	1	5	5	ML Engineer
9.21	4	3	3	3	1	2	4	5	5	AI Engineer
8.62	5	5	3	7	1	2	1	5	5	Data Analyst
6.77	2	2	1	0	1	3	5	2	2	Data Analyst
8.37	5	3	3	3	1	2	3	2	5	ML Engineer
8.18	4	4	5	3	0	1	4	2	2	ML Engineer
8	1	1	3	3	1	3	4	1	3	ML Engineer
8.72	5	5	2	3	1	4	4	1	1	Data Analyst
8.17	4	2	1	3	1	4	2	2	5	ML Engineer
8.27	2	5	2	2	0	2	5	5	3	ML Engineer
8.17	3	4	2	4	0	2	3	2	5	Data Analyst
7.91	2	1	5	1	0	3	3	3	2	ML Engineer
5.99	3	4	3	3	1	1	2	3	2	Data Analyst
7.68	5	1	1	0	1	5	1	2	3	Data Analyst
7.1	5	3	1	3	0	5	3	5	5	Data Analyst
6.45	2	5	5	3	1	1	2	1	3	Data Analyst
9.11	5	5	5	4	1	5	4	5	4	AI Engineer
9.16	3	5	4	1	0	1	2	4	2	Data Analyst
8.82	4	3	1	1	1	3	5	2	4	Data Analyst
7.83	4	3	1	0	1	4	4	4	4	Data Analyst
8.82	3	2	1	3	0	2	3	3	5	AI Engineer
7.61	3	5	4	3	1	2	4	5	1	ML Engineer
7.78	3	3	4	4	1	1	4	1	2	Data Analyst
6.62	5	4	5	4	0	4	4	1	1	ML Engineer
7.96	2	2	1	1	0	1	3	3	3	Data Analyst
7.65	2	4	1	1	1	3	5	5	4	Data Analyst
6.43	2	2	5	3	0	2	2	1	4	AI Engineer
7.55	1	4	5	0	1	5	3	4	4	Data Analyst
7.53	2	1	4	1	1	5	2	5	4	AI Engineer
9.22	1	1	1	1	1	5	3	3	5	Data Analyst
8.4	1	2	1	5	1	4	5	5	5	Data Analyst
7.61	4	3	1	5	1	3	4	4	3	ML Engineer
7.82	1	4	4	2	1	2	2	2	5	Data Analyst
7.64	3	2	5	1	1	1	5	5	1	AI Engineer
7.42	4	1	4	1	0	5	4	4	4	Data Analyst
6.63	4	2	2	0	0	2	3	1	3	AI Engineer
7.46	3	3	4	1	0	3	1	3	5	Data Analyst
6.93	1	3	1	0	0	1	3	4	3	Data Analyst
6.47	5	4	5	4	1	2	5	5	1	Data Analyst
8.06	5	2	5	2	0	4	3	4	4	AI Engineer
7.95	4	4	4	1	0	3	1	3	5	Data Analyst
5.99	1	4	5	1	0	3	1	2	1	Data Analyst
7.49	1	4	3	1	1	2	5	1	1	Data Analyst
8.5	2	3	3	2	1	1	3	1	4	Data Analyst
8.55	1	5	2	0	1	5	4	4	3	Data Analyst
8.52	5	2	5	1	1	3	2	5	3	AI Engineer
7.64	2	4	4	5	1	2	1	1	1	AI Engineer
6.84	2	1	1	1	1	2	3	4	3	Data Analyst
6.62	5	1	5	2	0	4	4	3	3	ML Engineer
7.91	5	5	1	2	1	3	2	1	5	Data Analyst
7.94	2	3	3	3	0	2	4	2	2	Data Analyst
8.76	2	4	1	2	1	5	3	2	2	Data Analyst
8.59	3	4	4	0	1	5	2	4	1	Data Analyst
7.48	4	4	3	5	0	1	2	2	3	ML Engineer
6.48	5	2	3	2	1	4	2	5	4	ML Engineer
7.31	5	1	4	2	0	5	2	2	2	ML Engineer
7.8	5	1	4	1	0	3	4	1	4	Data Analyst
7.42	1	5	2	7	0	1	2	1	5	Data Analyst
7.08	2	2	5	4	0	1	4	3	1	ML Engineer
7.83	3	3	3	4	0	4	2	3	3	Data Analyst
7.15	1	3	1	1	1	5	2	4	4	Data Analyst
7.03	2	1	1	3	1	1	5	3	1	AI Engineer
7.88	1	3	2	4	1	3	5	1	1	Data Analyst
7.24	5	1	4	3	1	3	3	2	2	ML Engineer
7.82	1	1	3	1	0	2	2	3	1	Data Analyst
7.85	1	1	2	3	0	4	4	2	2	Data Analyst
6.57	1	5	3	3	1	5	1	4	1	Data Analyst
7.17	1	3	5	2	1	2	3	5	5	Data Analyst
8.89	3	5	3	2	1	1	3	2	3	Data Analyst
6.55	2	3	1	1	0	2	4	3	2	Data Analyst
5.7	5	2	1	3	1	2	1	5	4	Data Analyst
5.92	2	4	3	2	1	4	1	2	1	Data Analyst
7.63	3	5	3	1	0	3	2	3	3	Data Analyst
7.63	4	3	5	4	0	1	1	2	4	Data Analyst
7.49	4	1	3	2	0	2	3	4	5	AI Engineer
8.69	4	2	4	5	1	4	5	4	2	AI Engineer
5.19	2	5	3	1	1	3	2	1	3	Data Analyst
7.96	3	3	2	3	1	3	3	1	4	Data Analyst
9.01	5	5	4	3	0	2	2	1	4	Data Analyst
6.58	5	3	4	7	1	2	1	1	1	ML Engineer
7.26	4	1	4	3	1	1	4	1	5	ML Engineer
6.92	4	5	1	4	1	1	2	4	2	Data Analyst
6.8	5	4	4	3	1	1	3	5	2	ML Engineer
7.31	4	4	2	1	0	4	4	3	1	Data Analyst
8.88	5	5	4	3	0	1	5	5	1	ML Engineer
9.25	1	1	4	3	1	3	1	4	2	AI Engineer
7.3	2	5	4	3	1	5	3	5	1	ML Engineer
9.31	1	2	5	1	1	4	5	4	4	Data Analyst
7.63	1	5	3	2	1	3	3	1	3	Data Analyst
9.18	3	1	1	4	0	1	1	3	2	Data Analyst
7.52	2	3	4	2	0	3	2	3	3	ML Engineer
7.72	3	4	4	1	1	5	4	4	4	Data Analyst
7.93	3	1	1	2	0	2	4	4	1	ML Engineer
10	4	1	1	1	1	5	2	1	2	ML Engineer
8.37	5	5	2	2	0	4	1	4	5	Data Analyst
6.96	5	1	5	2	0	2	2	5	1	AI Engineer
8.47	2	4	3	2	1	1	2	1	5	Data Analyst
7.27	2	5	5	2	0	1	4	3	5	AI Engineer
7.16	4	4	5	2	1	2	5	5	2	AI Engineer
8.42	1	3	3	3	1	2	1	1	2	ML Engineer
7.63	3	3	4	7	1	4	4	1	2	ML Engineer
7.85	3	4	2	3	1	3	4	5	3	Data Analyst
7.61	1	3	1	3	1	3	4	1	2	Data Analyst
7.9	4	3	2	3	1	4	5	4	4	ML Engineer
7.98	2	1	3	3	0	4	1	5	2	ML Engineer
5.86	1	4	1	2	0	4	4	3	5	Data Analyst
8.2	4	4	2	2	1	5	1	3	5	Data Analyst
6.72	1	4	1	3	1	2	5	3	3	Data Analyst
6.3	4	1	4	1	1	5	3	2	3	ML Engineer
7.55	1	4	5	1	1	3	1	2	1	AI Engineer
7.68	3	4	5	1	1	1	4	3	1	AI Engineer
6.98	5	1	2	0	0	1	4	5	3	AI Engineer
8.35	2	5	3	3	1	1	3	5	3	Data Analyst
6.39	4	3	5	1	0	5	2	5	2	Data Analyst
7.23	4	3	3	0	0	1	1	1	1	Data Analyst
7.07	5	4	2	3	1	5	5	2	5	Data Analyst
7.56	1	3	2	2	1	4	1	4	3	Data Analyst
7.85	4	3	4	1	0	3	5	3	3	Data Analyst
6.69	5	2	3	0	1	5	3	2	3	AI Engineer
8.25	4	5	5	5	1	5	4	2	3	ML Engineer
7.66	1	5	5	3	1	5	4	1	4	ML Engineer
5.9	5	1	1	1	1	3	5	2	4	Data Analyst
5.84	1	4	4	3	1	2	1	3	3	ML Engineer
7.59	3	1	2	0	1	1	5	3	1	ML Engineer
7.4	3	2	3	1	0	5	1	3	5	Data Analyst
7.51	3	5	2	1	0	5	5	2	2	ML Engineer
7.57	3	1	2	3	0	3	2	2	1	ML Engineer
7.8	1	2	2	3	0	1	5	5	1	AI Engineer
8.45	3	2	1	3	1	5	1	3	4	ML Engineer
6.6	5	4	4	2	0	2	3	2	2	ML Engineer
6.55	3	3	1	2	1	3	3	4	1	ML Engineer
6.62	2	3	2	2	0	4	5	3	5	Data Analyst
7.86	5	5	1	2	0	1	1	3	2	Data Analyst
8.72	1	3	1	3	1	1	1	2	5	Data Analyst
7.21	3	4	2	5	1	1	4	4	5	Data Analyst
5.35	3	1	5	2	1	5	1	1	1	ML Engineer
6.07	3	2	5	5	1	5	4	5	4	AI Engineer
6.85	5	5	2	4	0	3	1	3	4	Data Analyst
7.1	3	5	3	0	1	3	5	3	1	AI Engineer
7.23	5	4	5	1	1	3	3	2	2	Data Analyst
7.63	1	2	2	3	0	2	5	3	3	Data Analyst
7.32	4	1	5	3	1	3	1	4	1	ML Engineer
8.54	3	5	1	1	1	2	2	3	4	Data Analyst
6.99	2	4	2	3	1	4	3	1	2	Data Analyst
6.82	2	2	2	2	1	2	1	3	5	Data Analyst
8.03	4	3	1	0	1	4	1	2	5	ML Engineer
6.22	4	4	5	3	0	5	2	1	4	Data Analyst
7.95	4	3	5	6	1	2	4	5	1	AI Engineer
7.69	1	5	2	4	0	1	4	2	1	ML Engineer
7.47	3	1	5	4	0	3	1	3	1	ML Engineer
9.03	5	2	4	0	0	1	1	1	3	ML Engineer
7.04	1	1	5	4	1	2	4	2	4	AI Engineer
9.45	3	4	5	2	1	4	2	2	1	ML Engineer
7.4	3	4	3	4	1	3	4	1	4	ML Engineer
6.45	5	5	1	3	1	3	2	5	1	AI Engineer
7.66	2	3	5	4	1	4	2	2	2	ML Engineer
6.63	3	1	4	3	1	1	2	3	3	ML Engineer
6.92	4	3	5	3	0	3	2	3	5	Data Analyst
7.96	1	1	5	0	1	1	4	3	4	Data Analyst
8.1	5	4	1	3	0	3	3	3	3	Data Analyst
7.04	5	4	3	2	0	2	4	3	1	ML Engineer
8.49	4	5	1	1	0	5	1	1	2	Data Analyst
8.64	4	2	1	1	0	2	3	4	4	ML Engineer
8.89	4	2	5	2	1	2	3	1	1	ML Engineer
8.08	4	1	5	4	1	1	5	3	4	ML Engineer
8.83	5	3	5	3	0	1	3	2	4	ML Engineer
5.91	3	3	5	1	1	2	1	3	4	AI Engineer
7.31	3	4	4	4	0	2	4	1	2	ML Engineer
6.82	4	4	3	3	0	4	1	4	2	ML Engineer
7.71	1	1	5	2	0	5	5	3	1	ML Engineer
7.09	5	2	3	1	0	5	2	1	2	AI Engineer
7.45	4	3	4	2	0	5	4	1	3	ML Engineer
9.29	4	2	2	6	0	5	4	3	1	AI Engineer
7.45	2	1	4	2	0	3	3	4	3	AI Engineer
7.97	2	5	5	4	0	2	3	3	2	AI Engineer
7.39	3	4	4	2	1	4	1	4	3	AI Engineer
7.67	4	3	3	0	0	2	1	4	2	AI Engineer
7.61	4	2	1	0	0	4	4	5	5	AI Engineer
8	4	5	1	3	1	5	5	5	2	ML Engineer
8.65	5	1	4	1	0	1	5	5	5	ML Engineer
9.08	5	3	4	3	1	4	2	4	1	ML Engineer
7.88	4	5	4	2	0	5	2	3	1	Data Analyst
8.13	2	5	5	1	1	3	2	3	1	AI Engineer
6.56	3	2	3	0	1	2	4	4	3	AI Engineer
7.52	3	4	5	5	1	2	4	1	5	Data Analyst
8.45	4	1	4	5	1	1	4	4	1	ML Engineer
8.38	5	1	2	3	1	2	5	3	4	Data Analyst
7.79	2	2	5	1	0	4	2	3	4	ML Engineer
8.4	3	5	1	0	0	3	4	5	2	Data Analyst
8.04	1	4	3	0	1	2	3	4	2	Data Analyst
8.68	4	3	5	6	0	3	5	5	5	AI Engineer
7.86	3	2	4	4	0	5	2	5	4	ML Engineer
7.28	3	1	5	6	1	1	1	5	2	ML Engineer
7.9	3	2	1	3	0	1	2	2	5	Data Analyst
5	2	1	3	4	0	5	4	1	3	Data Analyst
7.94	3	1	4	3	1	4	5	2	1	Data Analyst
5	4	4	4	2	0	3	5	4	5	AI Engineer
6.05	2	1	5	1	1	5	1	5	5	AI Engineer
8.01	1	1	3	0	1	3	3	5	3	AI Engineer
8.03	2	3	4	5	1	3	1	4	4	Data Analyst
6.55	1	2	3	5	1	2	2	4	2	AI Engineer
6.96	2	3	5	2	0	5	5	5	5	ML Engineer
8.83	4	1	1	3	1	4	5	4	2	AI Engineer
7.16	1	2	2	5	1	2	1	1	2	Data Analyst
