CGPA,Python_Skill,SQL_Skill,Machine_Learning_Skill,Deep_Learning_Skill,Data_Analysis_Skill,Statistics_Skill,Programming_Skill,DSA_Skill,Web_Development_Skill,Cybersecurity_Skill,Networking_Skill,Linux_Skill,Cloud_Skill,DevOps_Skill,NLP_Skill,Computer_Vision_Skill,OpenCV_Skill,Projects,Internship,Communication_Skill,Problem_Solving_Skill,Job_Role
8.36,5,5,4,3,2,5,5,3,4,4,2,1,2,2,1,1,3,4,1,1,2,ML Engineer
8.2,5,4,5,5,3,5,4,3,2,2,5,3,3,1,4,1,2,4,1,2,5,ML Engineer
9.16,5,2,5,5,4,5,3,4,1,2,5,4,4,2,2,1,3,3,0,2,4,ML Engineer
7.83,5,4,5,4,4,4,3,5,1,4,2,2,2,1,3,2,1,4,0,1,3,ML Engineer
8.74,5,5,5,4,3,3,3,5,2,5,4,5,2,4,1,3,2,0,0,2,2,ML Engineer
8.65,5,3,5,3,1,5,4,4,1,2,1,5,2,5,3,5,3,3,1,3,2,ML Engineer
8.88,4,5,4,4,2,3,4,4,4,4,1,5,5,5,3,2,4,1,0,4,4,ML Engineer
9.3,4,1,5,3,4,5,4,3,5,5,5,5,1,3,5,3,5,3,1,3,4,ML Engineer
5.65,4,1,4,5,4,5,3,3,2,2,5,2,5,2,3,2,4,3,1,5,1,ML Engineer
9.68,5,3,4,2,4,5,5,4,1,4,2,4,5,3,1,5,5,1,0,1,5,ML Engineer
8.44,5,5,4,4,2,4,4,3,2,2,1,2,1,3,3,3,2,1,0,4,5,ML Engineer
8.49,5,4,4,1,3,4,3,4,4,2,1,5,3,4,4,4,3,5,1,1,3,ML Engineer
9.99,5,4,5,5,4,5,5,3,1,2,5,5,3,5,2,4,4,3,0,4,5,ML Engineer
5.54,4,5,5,2,1,3,3,4,2,2,3,4,3,5,1,4,1,4,1,3,2,ML Engineer
5.86,4,5,4,3,4,4,3,5,1,5,3,1,4,2,4,2,1,0,0,2,1,ML Engineer
9.75,4,4,4,5,2,3,3,4,1,1,5,3,2,5,3,1,3,5,0,4,4,ML Engineer
6.66,4,3,4,5,1,4,4,5,2,3,3,2,2,3,4,1,1,3,1,5,2,ML Engineer
8.62,4,1,5,5,4,4,4,3,4,5,1,4,3,5,2,2,1,0,0,2,5,ML Engineer
8.97,4,1,4,4,5,5,5,4,5,4,4,1,5,1,5,1,2,2,0,1,1,ML Engineer
7.8,4,3,5,5,2,4,3,5,2,4,3,1,3,1,3,3,2,1,1,3,4,ML Engineer
9.5,4,1,5,1,4,5,3,4,2,2,4,4,2,2,2,4,2,1,0,4,5,ML Engineer
8.72,4,2,4,2,4,4,5,4,3,3,2,3,3,5,4,5,1,3,0,2,2,ML Engineer
8.72,5,1,5,5,3,4,5,3,3,3,4,1,5,3,4,1,5,3,1,3,5,ML Engineer
8.4,5,1,5,1,5,3,5,5,4,3,3,2,3,3,3,4,2,3,1,1,3,ML Engineer
5.74,4,2,4,1,5,3,4,4,2,3,5,2,2,4,2,3,3,0,0,5,4,ML Engineer
6.32,5,4,5,5,3,5,5,3,4,1,4,1,5,5,1,4,1,3,0,2,2,ML Engineer
9.21,5,2,5,4,2,3,4,5,4,2,5,1,3,5,4,5,5,5,0,5,3,ML Engineer
6.01,4,5,5,2,5,4,5,5,5,5,2,3,4,3,5,4,3,2,1,2,5,ML Engineer
6.5,4,3,5,3,1,4,3,3,1,1,3,4,3,3,2,2,4,5,1,2,3,ML Engineer
7.42,5,4,4,5,1,5,3,3,5,2,5,5,5,2,4,2,5,3,1,5,2,ML Engineer
6.13,5,3,4,2,3,5,4,4,5,5,3,5,4,2,2,1,5,4,1,3,5,ML Engineer
8.89,5,5,5,5,4,5,3,3,1,1,3,5,2,5,3,1,3,5,1,4,4,ML Engineer
9.52,5,2,5,1,5,4,4,5,2,4,1,5,3,5,2,5,2,1,1,1,3,ML Engineer
5.75,5,1,5,1,5,5,5,3,3,3,4,5,2,5,1,2,3,4,1,4,1,ML Engineer
6.55,4,3,4,3,5,4,3,3,3,2,2,1,2,2,3,3,4,0,1,3,1,ML Engineer
9.76,4,5,5,4,5,3,3,3,4,1,1,2,3,1,5,3,3,1,0,4,4,ML Engineer
6.24,4,4,5,2,5,5,4,5,1,1,5,2,4,3,1,3,2,0,1,2,5,ML Engineer
5.98,4,4,5,4,3,4,4,3,2,2,3,1,5,5,2,1,1,2,0,5,2,ML Engineer
9.6,4,5,5,2,2,4,3,3,3,3,3,2,2,5,2,2,2,4,1,1,2,ML Engineer
6.45,4,5,4,2,4,4,4,3,1,2,1,3,2,4,5,3,2,3,0,1,4,ML Engineer
7.3,5,5,5,3,1,5,3,5,4,4,2,2,5,5,2,2,4,2,1,4,1,ML Engineer
8.89,4,2,5,5,3,4,3,4,2,4,1,4,2,3,2,2,2,5,0,3,5,ML Engineer
6.56,4,1,5,3,4,3,5,3,3,3,3,2,3,3,2,2,5,1,0,5,4,ML Engineer
9.45,5,2,5,5,5,3,3,5,5,4,1,3,1,3,2,2,5,0,0,2,4,ML Engineer
7.66,4,2,4,3,1,4,5,3,5,2,2,4,3,3,2,1,5,0,0,2,1,ML Engineer
6.49,4,3,4,2,3,4,3,3,1,3,3,2,1,4,4,5,3,3,1,1,5,ML Engineer
8.53,5,2,5,5,3,5,4,4,5,3,4,2,1,3,2,1,3,4,1,4,5,ML Engineer
9.36,4,1,4,3,2,5,4,5,1,1,5,3,2,3,4,4,4,1,0,3,2,ML Engineer
9.71,5,1,4,3,5,5,4,5,2,1,5,3,4,4,3,1,2,3,0,4,2,ML Engineer
8.5,4,5,4,4,5,5,3,3,2,1,2,1,1,3,1,1,3,4,1,5,4,ML Engineer
9.83,4,1,4,4,5,4,5,4,2,4,4,2,4,4,5,5,2,3,1,5,2,ML Engineer
7.51,5,3,4,4,1,5,4,3,2,1,2,4,2,5,4,3,2,1,0,2,5,ML Engineer
8.12,4,3,5,2,5,5,4,3,5,2,1,2,1,1,5,1,3,0,0,5,1,ML Engineer
7.0,5,3,5,5,5,5,4,3,4,3,1,5,2,3,4,1,1,3,1,2,5,ML Engineer
5.84,4,1,5,5,2,5,5,3,2,2,3,5,2,1,4,2,5,4,0,3,4,ML Engineer
9.65,4,1,4,3,4,5,4,3,4,3,3,3,1,4,3,4,3,1,1,2,5,ML Engineer
6.38,4,2,4,2,3,5,3,5,3,5,3,5,2,2,2,3,1,3,1,4,4,ML Engineer
8.76,4,3,5,5,4,4,5,3,5,5,4,4,1,1,3,3,5,3,0,1,5,ML Engineer
6.76,5,4,5,5,2,3,3,4,4,4,1,3,3,2,5,2,3,0,0,2,3,ML Engineer
9.8,4,2,4,4,5,3,4,4,2,2,4,2,5,5,4,3,4,3,0,5,2,ML Engineer
7.84,5,4,5,2,4,5,5,5,1,4,5,3,4,2,2,4,3,1,0,5,2,ML Engineer
9.52,4,2,4,3,2,3,5,5,1,4,4,1,3,3,2,4,3,4,0,2,2,ML Engineer
9.96,5,2,4,2,4,3,3,4,5,3,2,1,2,5,1,2,2,1,0,3,5,ML Engineer
9.3,4,1,5,4,1,4,4,5,2,2,1,3,2,5,4,2,1,3,0,5,3,ML Engineer
8.76,4,1,5,3,4,3,4,3,1,4,5,1,1,4,1,5,5,5,1,3,3,ML Engineer
8.58,5,1,5,1,1,5,4,3,4,2,1,1,1,1,3,4,5,2,0,5,1,ML Engineer
7.57,4,3,4,4,5,5,3,5,5,3,4,3,2,2,1,1,2,5,1,3,5,ML Engineer
7.6,4,4,5,3,1,3,5,3,5,1,3,1,5,5,5,5,2,0,1,5,5,ML Engineer
5.63,5,2,5,4,3,3,4,5,4,3,4,2,5,1,3,5,2,2,0,3,5,ML Engineer
7.36,5,4,5,1,1,3,4,4,2,2,4,3,4,3,2,1,5,4,0,4,2,ML Engineer
6.31,4,4,4,4,5,4,4,4,5,3,4,3,5,2,2,3,1,2,1,1,4,ML Engineer
9.99,5,3,4,2,1,3,5,5,3,2,3,4,2,5,4,3,3,0,1,1,5,ML Engineer
6.49,5,4,4,1,4,4,4,5,2,5,3,3,2,4,3,1,1,2,1,3,1,ML Engineer
6.57,5,1,4,1,5,5,4,3,1,4,3,4,4,4,1,5,3,0,1,5,5,ML Engineer
9.1,5,3,4,4,3,4,4,5,5,5,1,5,4,4,3,5,5,4,1,5,2,ML Engineer
5.54,5,3,5,3,4,5,3,3,5,5,4,1,1,1,1,3,2,0,0,3,3,ML Engineer
7.85,4,1,4,1,5,4,5,3,5,1,5,1,2,5,4,4,4,3,0,4,3,ML Engineer
7.39,5,4,4,4,3,5,4,3,2,4,2,2,1,3,5,1,5,3,0,4,1,ML Engineer
6.86,5,4,5,5,3,5,5,5,1,4,3,1,1,2,2,2,3,2,0,1,3,ML Engineer
5.89,5,1,4,5,2,5,5,5,2,1,4,4,2,4,3,4,2,0,0,5,1,ML Engineer
8.5,5,1,5,4,2,3,4,4,3,5,4,4,2,1,2,2,2,1,0,2,1,ML Engineer
7.85,4,1,4,1,3,5,3,5,5,5,4,4,4,2,1,1,4,5,1,2,5,ML Engineer
8.23,4,1,5,3,3,4,4,5,1,2,2,4,5,3,3,4,2,4,1,2,2,ML Engineer
9.11,5,5,5,2,2,3,3,3,1,2,1,1,1,4,5,3,4,1,1,2,3,ML Engineer
7.47,5,3,4,1,3,3,3,4,5,1,2,5,5,1,2,4,4,1,1,2,3,ML Engineer
8.03,4,2,4,2,3,3,4,4,1,5,2,1,2,5,1,4,3,0,0,2,5,ML Engineer
7.83,5,1,5,5,1,3,4,4,5,2,1,5,2,4,4,5,2,3,0,3,1,ML Engineer
8.22,5,2,4,2,2,3,4,4,4,4,5,4,2,1,2,4,1,2,1,2,5,ML Engineer
6.06,4,5,4,1,1,4,4,3,4,2,3,5,3,1,1,2,5,4,0,5,1,ML Engineer
5.73,5,5,5,4,4,3,4,3,1,4,2,2,3,2,2,2,2,0,0,4,1,ML Engineer
5.9,4,3,5,3,5,5,3,3,5,2,1,2,2,2,2,1,3,4,1,2,5,ML Engineer
7.31,5,3,5,5,3,3,5,3,1,3,2,2,1,4,5,1,2,3,1,1,3,ML Engineer
7.42,5,2,4,4,5,3,5,3,2,4,3,2,3,4,5,1,3,4,1,2,3,ML Engineer
7.65,5,2,4,2,1,5,3,5,3,3,4,1,4,1,3,1,5,3,0,2,1,ML Engineer
6.81,5,4,5,5,4,3,4,5,3,5,5,1,4,4,1,5,2,2,1,4,3,ML Engineer
6.08,5,4,4,2,2,5,4,3,1,5,4,1,1,5,3,2,1,2,0,5,5,ML Engineer
7.93,4,1,5,4,2,4,3,3,4,2,1,4,3,5,1,4,1,4,0,3,1,ML Engineer
9.26,4,5,4,5,1,3,5,5,1,2,3,2,1,1,3,1,3,1,0,5,5,ML Engineer
7.08,4,4,5,3,1,3,5,4,2,3,5,1,5,4,3,3,4,4,0,3,5,ML Engineer
9.36,4,4,5,4,3,3,3,3,4,1,5,4,3,4,2,4,5,4,1,5,3,ML Engineer
7.78,5,4,5,1,1,3,4,5,5,1,3,3,1,2,1,2,1,0,1,2,1,ML Engineer
6.78,4,3,4,3,1,4,3,5,2,5,1,4,1,1,2,1,4,5,0,3,2,ML Engineer
8.44,5,4,5,4,4,5,5,5,2,5,5,2,1,4,5,4,2,2,1,2,1,ML Engineer
5.63,5,3,5,3,5,4,4,3,4,1,2,5,4,5,5,4,3,1,1,5,4,ML Engineer
6.75,4,2,4,3,1,4,3,4,5,2,3,3,1,5,4,2,1,5,1,3,2,ML Engineer
5.85,5,2,4,3,4,4,4,4,2,2,2,4,5,3,1,3,5,3,0,1,4,ML Engineer
6.59,4,5,4,2,3,3,3,4,2,4,4,2,5,1,4,4,5,4,0,4,3,ML Engineer
9.65,4,3,4,1,2,4,5,3,4,1,5,3,2,3,2,2,1,1,0,1,1,ML Engineer
7.47,5,1,5,1,4,3,4,3,1,1,4,3,1,5,3,4,5,2,0,4,2,ML Engineer
6.0,5,5,5,2,1,5,5,5,1,3,2,1,2,4,2,3,5,5,1,2,3,ML Engineer
7.91,5,1,5,2,3,5,3,4,4,2,5,5,1,3,3,1,5,0,1,4,5,ML Engineer
6.36,5,4,4,2,2,3,3,5,4,5,1,1,1,1,2,5,3,1,1,2,5,ML Engineer
7.77,5,5,4,1,1,4,3,3,3,1,3,4,3,5,2,2,1,0,1,1,1,ML Engineer
8.51,5,1,4,4,1,3,4,5,1,3,4,5,2,1,1,4,1,3,1,2,3,ML Engineer
9.16,5,4,5,3,5,5,3,5,5,2,4,3,4,1,3,4,4,5,1,5,2,ML Engineer
7.81,4,3,5,5,1,3,3,5,2,1,4,3,2,1,5,2,2,5,0,1,5,ML Engineer
6.38,4,3,4,3,2,4,4,4,2,5,1,1,3,4,5,3,1,5,0,5,1,ML Engineer
9.29,4,3,5,5,4,4,3,4,1,3,2,3,1,1,2,1,4,1,1,2,3,ML Engineer
8.13,5,1,5,4,5,4,3,5,3,5,4,2,3,4,3,5,1,2,1,3,2,ML Engineer
6.35,4,4,4,4,3,3,3,3,1,3,5,2,3,4,1,3,3,3,0,4,3,ML Engineer
5.66,4,2,4,1,3,5,5,5,5,5,3,5,2,1,2,3,3,4,1,2,4,ML Engineer
7.32,5,1,5,4,1,4,5,3,3,1,1,5,5,1,1,5,4,4,1,3,1,ML Engineer
5.54,4,4,4,5,5,3,3,3,5,3,5,4,5,5,4,2,5,2,1,4,2,ML Engineer
8.51,5,1,5,2,2,3,3,4,2,1,1,4,5,5,2,2,4,3,1,2,5,ML Engineer
5.75,5,2,5,3,2,3,3,3,5,2,5,3,1,3,1,5,4,2,1,1,2,ML Engineer
6.36,4,2,4,1,4,3,4,4,3,3,2,2,4,1,5,5,1,1,0,4,2,ML Engineer
9.2,5,4,4,1,4,5,4,3,4,1,2,4,3,4,5,3,3,5,0,5,1,ML Engineer
5.51,5,5,4,5,3,4,4,3,1,5,3,2,1,2,1,3,5,0,0,1,4,ML Engineer
6.76,5,2,5,1,1,3,5,3,3,4,5,4,1,5,3,1,5,2,1,2,5,ML Engineer
8.61,5,1,5,2,5,3,3,3,1,2,3,5,3,2,5,5,3,0,1,2,4,ML Engineer
7.47,4,1,4,2,2,4,5,5,5,3,1,1,4,4,5,5,5,4,0,1,4,ML Engineer
8.3,4,3,4,2,2,5,5,5,5,3,2,4,2,2,1,5,5,4,0,1,1,ML Engineer
7.88,4,3,4,1,4,4,3,3,4,1,3,3,4,3,1,1,3,2,0,3,5,ML Engineer
9.99,5,3,5,3,1,5,4,3,2,5,3,2,2,5,5,5,3,4,1,3,4,ML Engineer
8.05,4,3,5,4,3,5,3,4,5,5,2,3,3,4,4,5,2,1,1,3,1,ML Engineer
7.5,5,1,4,1,4,3,5,5,4,1,2,5,1,5,2,2,4,3,1,5,2,ML Engineer
8.71,5,1,5,5,1,3,5,5,3,2,3,5,3,5,5,2,2,0,0,1,2,ML Engineer
7.7,4,1,5,3,5,3,3,5,2,3,3,4,1,3,4,1,4,2,1,5,5,ML Engineer
9.94,5,4,5,2,4,3,3,5,1,1,3,4,2,1,1,5,3,4,0,4,5,ML Engineer
5.82,5,3,5,3,3,3,4,4,4,1,4,2,4,5,1,3,5,1,0,2,2,ML Engineer
7.35,5,2,4,3,2,5,5,5,2,1,4,3,3,5,2,2,5,2,1,5,3,ML Engineer
5.75,4,4,5,2,2,4,4,4,3,1,3,1,2,5,2,4,4,1,0,4,1,ML Engineer
7.56,5,3,4,2,5,4,5,3,3,4,5,3,4,5,1,4,5,0,1,4,3,ML Engineer
9.02,5,5,4,4,3,5,4,5,1,1,1,5,2,5,3,5,4,4,0,4,1,ML Engineer
5.86,4,2,3,5,4,4,4,5,5,4,1,3,5,5,5,2,1,2,0,4,3,Data Scientist
9.57,4,5,5,4,5,4,3,2,4,3,2,4,5,4,4,5,4,4,1,4,2,Data Scientist
5.65,4,3,5,3,5,4,3,5,1,1,1,5,1,2,5,5,5,1,0,2,5,Data Scientist
6.89,4,5,4,5,5,5,2,2,1,2,2,3,3,4,1,2,4,1,0,5,3,Data Scientist
7.05,5,5,5,3,5,4,4,1,5,4,3,4,2,2,4,5,2,0,1,1,4,Data Scientist
9.11,4,5,5,5,4,4,4,2,3,2,1,5,1,5,3,2,2,4,0,4,3,Data Scientist
6.71,4,5,4,1,4,5,1,3,1,1,4,5,4,1,3,4,5,1,1,3,4,Data Scientist
8.34,5,1,5,3,4,5,4,2,2,3,2,1,2,2,5,1,2,3,1,3,5,Data Scientist
9.69,5,1,4,4,5,4,3,1,2,4,5,4,5,2,3,5,3,0,0,3,1,Data Scientist
7.48,5,4,3,3,5,5,2,3,1,2,4,2,2,5,2,2,3,0,1,3,2,Data Scientist
6.99,4,1,4,5,4,5,1,4,1,5,3,2,1,5,4,3,2,1,0,1,4,Data Scientist
7.64,4,5,5,5,4,4,2,5,2,5,3,2,1,5,2,3,3,3,1,5,3,Data Scientist
7.9,4,3,3,2,5,5,3,5,3,2,1,1,1,1,3,3,5,4,1,3,3,Data Scientist
9.11,5,1,4,3,5,4,1,3,3,5,5,2,4,1,1,5,5,2,0,4,1,Data Scientist
6.11,4,5,4,3,5,5,1,2,5,5,2,5,2,1,1,1,2,1,0,2,2,Data Scientist
9.91,4,4,4,3,4,4,5,2,5,2,5,2,5,3,1,2,3,4,0,4,4,Data Scientist
8.93,4,5,3,5,4,4,4,2,3,1,2,2,2,5,5,3,5,2,1,4,5,Data Scientist
7.26,5,4,3,1,5,4,1,5,3,2,4,4,3,2,4,4,5,3,1,4,2,Data Scientist
7.04,5,1,3,2,5,5,1,5,1,2,5,1,3,2,3,3,5,5,0,5,2,Data Scientist
5.84,5,4,3,5,5,5,4,2,3,5,2,2,1,5,2,1,5,4,1,4,2,Data Scientist
6.3,4,3,3,2,5,5,2,3,2,4,3,1,3,2,4,3,4,2,1,3,3,Data Scientist
6.43,4,4,3,4,5,4,5,2,2,5,4,3,1,2,5,1,2,5,0,5,3,Data Scientist
7.6,5,5,4,4,4,4,1,4,3,3,1,5,5,3,1,1,1,4,0,4,2,Data Scientist
8.67,4,3,5,5,5,4,2,3,2,2,2,3,3,3,3,2,5,3,1,1,4,Data Scientist
9.23,4,1,3,3,5,4,3,4,3,1,3,4,3,5,5,5,2,3,1,4,4,Data Scientist
7.1,5,4,4,1,5,5,4,3,3,4,2,4,4,3,1,3,5,4,1,5,5,Data Scientist
9.59,4,3,3,5,4,5,3,5,1,4,5,3,4,3,4,3,5,5,0,2,4,Data Scientist
6.67,5,1,5,5,5,4,2,3,1,5,5,1,3,5,5,3,3,3,1,1,1,Data Scientist
6.77,5,2,4,2,5,5,5,5,4,1,4,5,3,4,5,5,1,3,1,5,3,Data Scientist
9.15,4,1,3,2,5,5,1,1,1,3,4,3,2,5,3,3,5,0,1,5,5,Data Scientist
9.86,5,2,3,4,5,4,5,2,3,4,5,5,3,4,5,5,2,0,0,3,2,Data Scientist
7.26,5,1,4,1,4,5,2,4,5,4,5,4,2,4,1,4,5,4,1,1,5,Data Scientist
8.18,4,4,3,5,5,5,5,2,4,2,4,3,5,1,5,4,1,3,1,4,4,Data Scientist
7.68,5,3,4,4,4,5,2,3,2,5,3,5,2,4,5,1,4,4,1,4,5,Data Scientist
6.91,4,1,4,5,4,4,4,3,4,5,3,5,3,3,5,1,1,3,1,1,1,Data Scientist
5.51,4,1,5,1,4,5,4,1,5,5,1,2,2,3,4,2,3,4,0,2,2,Data Scientist
5.96,5,3,5,4,5,4,5,1,4,2,3,2,5,1,5,3,3,3,0,4,1,Data Scientist
7.77,5,5,4,5,5,5,1,2,5,1,4,2,4,5,3,4,3,2,0,2,3,Data Scientist
7.48,5,5,5,3,4,5,3,5,4,3,2,3,5,2,3,4,2,3,1,4,2,Data Scientist
6.46,5,3,3,4,5,5,3,3,1,2,4,3,4,5,2,1,4,1,0,4,1,Data Scientist
5.55,5,4,4,4,5,5,4,1,2,1,1,4,5,5,3,3,5,1,1,1,2,Data Scientist
7.42,5,4,4,1,4,5,5,2,4,1,4,4,4,3,1,1,4,1,0,1,4,Data Scientist
6.29,4,2,3,3,4,4,4,3,2,5,3,4,1,4,4,3,5,1,1,4,1,Data Scientist
8.24,4,2,5,4,4,4,4,1,4,2,3,5,1,5,5,5,1,4,1,1,4,Data Scientist
6.68,5,5,4,4,5,4,4,2,5,5,5,3,5,2,3,5,3,5,1,4,5,Data Scientist
5.76,4,4,5,1,5,4,5,3,4,4,2,4,5,1,2,4,5,5,1,4,4,Data Scientist
7.06,5,4,4,5,4,4,5,5,1,5,3,4,3,2,5,5,5,0,0,4,4,Data Scientist
7.09,5,2,4,2,4,5,2,2,1,5,2,5,1,5,1,1,4,4,1,4,5,Data Scientist
7.39,4,2,5,3,4,4,4,5,5,2,3,5,4,2,5,3,2,3,1,1,3,Data Scientist
7.0,4,1,3,1,5,4,4,1,4,4,2,3,4,4,1,1,1,4,1,1,5,Data Scientist
7.14,4,2,3,3,4,4,1,2,2,2,2,1,1,5,4,1,5,4,1,3,4,Data Scientist
8.27,4,1,4,3,4,5,4,2,2,4,5,1,2,4,4,4,1,0,1,3,1,Data Scientist
6.87,4,2,4,1,4,4,5,5,4,2,2,5,2,2,4,3,1,2,1,5,5,Data Scientist
8.99,5,4,4,1,4,4,1,1,4,4,4,5,4,5,3,1,1,0,0,1,3,Data Scientist
5.55,5,5,3,3,4,5,3,5,4,4,4,5,5,5,1,5,4,3,0,3,4,Data Scientist
6.63,4,1,4,1,4,4,1,1,1,3,1,1,5,3,3,1,3,0,0,2,1,Data Scientist
9.42,5,1,3,4,5,5,4,2,2,3,1,5,4,2,5,2,1,3,1,3,2,Data Scientist
9.93,4,4,5,3,5,4,4,4,2,2,2,3,2,1,5,2,3,5,1,5,2,Data Scientist
8.99,4,3,3,2,5,4,5,5,3,3,2,4,1,1,5,5,2,3,1,2,5,Data Scientist
8.8,4,5,4,2,5,5,5,1,4,4,1,3,4,2,4,3,2,0,0,5,4,Data Scientist
9.69,5,4,3,5,5,4,1,3,4,3,3,4,2,5,1,5,1,4,0,5,1,Data Scientist
8.13,5,4,3,4,5,5,4,1,3,2,2,5,3,2,4,2,2,1,1,4,1,Data Scientist
6.27,4,2,3,1,4,5,2,2,4,1,4,5,4,3,5,2,5,5,0,1,5,Data Scientist
8.01,4,3,3,2,4,5,3,1,5,5,4,5,4,3,1,5,4,5,1,3,1,Data Scientist
9.09,5,1,3,1,5,5,3,5,5,1,5,1,1,4,4,4,2,4,1,3,1,Data Scientist
5.92,4,2,5,3,5,5,2,3,3,3,4,5,2,1,1,5,3,3,1,4,3,Data Scientist
7.92,4,3,5,1,4,5,3,3,3,4,3,4,3,1,1,2,3,2,1,5,4,Data Scientist
8.81,5,3,5,4,4,4,3,4,5,2,4,5,5,5,1,3,4,2,1,4,3,Data Scientist
6.87,4,3,5,4,4,5,3,2,1,3,3,5,5,2,2,2,5,5,0,2,4,Data Scientist
5.84,4,5,3,5,4,5,1,4,5,4,4,2,4,2,5,5,2,0,1,4,1,Data Scientist
8.51,4,1,4,1,5,5,3,5,2,2,4,1,3,4,5,3,1,4,0,3,4,Data Scientist
5.95,4,4,3,3,5,4,2,3,3,1,3,2,1,3,3,5,1,0,1,3,5,Data Scientist
6.28,5,3,3,1,4,5,3,3,4,1,1,5,3,3,2,1,2,5,1,3,4,Data Scientist
9.26,5,3,5,1,5,4,4,3,2,2,5,2,4,2,5,4,2,3,1,2,1,Data Scientist
9.65,5,1,5,2,4,5,5,2,2,5,5,5,1,3,1,3,1,4,1,1,3,Data Scientist
8.59,5,1,4,5,5,5,4,1,1,4,1,1,2,5,5,5,3,2,0,4,1,Data Scientist
7.83,5,1,3,4,4,5,4,2,4,2,5,2,4,3,1,1,3,4,1,2,1,Data Scientist
8.09,4,5,3,1,4,4,5,4,1,4,3,4,5,4,2,1,5,3,1,4,2,Data Scientist
5.84,5,4,5,4,4,4,3,5,4,5,5,5,5,1,4,3,5,1,0,4,1,Data Scientist
6.76,4,1,4,3,5,4,5,4,4,5,5,4,3,5,1,2,3,4,1,3,4,Data Scientist
7.82,4,2,4,3,5,5,3,5,2,1,1,5,3,4,2,5,2,1,1,4,1,Data Scientist
6.95,5,4,3,4,4,4,2,5,1,1,2,2,4,5,5,3,3,3,0,3,5,Data Scientist
8.35,4,4,3,4,5,4,5,2,2,4,3,1,3,3,2,2,2,0,0,3,5,Data Scientist
6.74,4,4,4,4,4,4,4,2,1,2,2,4,1,3,2,1,3,1,0,2,5,Data Scientist
8.59,5,2,4,2,5,5,1,3,5,5,2,2,4,3,4,5,2,5,1,2,2,Data Scientist
7.29,5,3,3,4,5,4,5,2,5,1,5,2,4,3,4,2,2,4,0,2,5,Data Scientist
7.32,5,5,5,1,4,5,3,1,5,5,3,3,3,1,3,4,5,2,0,1,2,Data Scientist
8.6,4,5,3,5,4,4,2,3,1,2,2,4,2,5,3,1,5,1,0,5,2,Data Scientist
6.79,5,2,5,4,5,4,2,5,1,2,4,3,3,1,1,2,5,3,1,2,5,Data Scientist
7.27,4,3,4,5,5,5,4,3,4,2,5,1,4,1,4,4,5,2,0,5,3,Data Scientist
7.36,5,3,5,2,4,4,3,3,4,4,3,3,1,1,5,4,4,2,0,2,1,Data Scientist
7.76,5,2,4,1,4,5,2,5,5,3,4,4,1,3,4,5,5,5,1,1,2,Data Scientist
6.67,4,4,3,4,5,4,4,5,3,2,3,5,1,3,4,4,4,4,1,4,1,Data Scientist
8.47,4,5,3,4,4,4,2,4,3,4,4,3,2,1,1,1,1,5,1,5,1,Data Scientist
8.77,5,5,3,3,5,4,3,2,1,5,3,3,2,4,5,4,3,0,0,2,3,Data Scientist
5.69,4,4,3,4,4,4,1,1,1,1,4,5,2,5,1,4,4,3,0,1,4,Data Scientist
6.11,4,1,5,1,4,5,2,5,4,2,3,1,4,2,3,2,5,0,1,1,4,Data Scientist
7.57,5,5,4,5,4,4,2,2,4,1,1,2,4,1,5,2,5,3,1,4,5,Data Scientist
9.05,4,2,4,4,4,4,5,1,1,3,1,2,4,1,2,5,4,0,1,3,2,Data Scientist
7.67,5,1,4,1,5,5,1,5,5,5,5,3,4,2,2,1,3,5,1,5,5,Data Scientist
5.9,5,2,3,2,5,4,5,2,4,5,4,2,3,4,2,4,5,0,1,2,3,Data Scientist
9.24,5,4,5,2,5,4,2,1,4,4,1,3,1,2,2,4,1,4,0,4,1,Data Scientist
6.87,4,1,5,3,4,5,2,1,1,4,4,1,1,2,4,2,1,4,0,1,1,Data Scientist
8.55,5,5,3,2,4,4,2,1,2,3,2,4,2,4,4,3,2,3,0,4,5,Data Scientist
9.06,4,2,5,4,4,4,5,2,2,5,5,2,3,2,3,3,2,2,0,2,1,Data Scientist
9.29,4,4,3,4,5,4,3,1,3,1,2,5,4,1,1,1,2,1,0,2,5,Data Scientist
8.59,5,3,4,1,5,5,4,1,3,4,1,3,2,3,3,5,5,3,1,5,3,Data Scientist
8.87,5,5,4,3,5,4,1,3,2,5,1,2,4,3,3,5,1,3,1,2,3,Data Scientist
7.84,5,3,3,5,5,5,3,4,1,5,4,3,5,5,4,4,2,0,1,1,3,Data Scientist
9.2,5,4,5,2,4,4,5,4,5,4,2,3,3,5,5,2,4,2,0,5,1,Data Scientist
6.41,4,2,3,4,4,4,4,3,1,4,4,4,1,3,4,1,2,2,0,3,1,Data Scientist
6.71,5,4,3,1,5,5,2,1,1,5,3,3,1,2,1,2,3,1,1,2,5,Data Scientist
5.59,4,1,4,2,5,5,1,4,4,4,1,4,2,5,5,4,5,0,1,3,5,Data Scientist
9.5,5,5,5,4,5,4,3,1,1,1,3,4,5,2,4,3,3,0,1,4,5,Data Scientist
7.32,4,1,5,5,4,4,2,2,3,2,3,2,4,1,4,3,3,1,1,1,2,Data Scientist
6.34,5,4,3,3,4,5,5,5,3,3,3,2,3,3,3,4,3,4,1,1,4,Data Scientist
